field,ra,dec,ebv
1,0.0,-89.05,0.16399142146110535
2,90.0,-89.05,0.15228812396526337
3,180.0,-89.05,0.14326488971710205
4,270.0,-89.05,0.1615772247314453
5,16.36364,-81.85,0.11201904714107513
6,49.09091,-81.85,0.0728052482008934
7,81.81818,-81.85,0.14327508211135864
8,114.54545,-81.85,0.2213309407234192
9,147.27273,-81.85,0.12857967615127563
10,180.0,-81.85,0.21985091269016266
11,212.72727,-81.85,0.20395956933498383
12,245.45455,-81.85,0.15074290335178375
13,278.18182,-81.85,0.13422274589538574
14,310.90909,-81.85,0.1719631552696228
15,343.63636,-81.85,0.1646290421485901
16,10.58824,-74.65,0.05720524862408638
17,31.76471,-74.65,0.06470548361539841
18,52.94118,-74.65,0.11062640696763992
19,74.11765,-74.65,0.09105300903320312
20,95.29412,-74.65,0.1631685495376587
22,137.64706,-74.65,0.13187162578105927
24,180.0,-74.65,0.25144141912460327
25,201.17647,-74.65,0.23613078892230988
26,222.35294,-74.65,0.2148076742887497
27,243.52941,-74.65,0.1147659569978714
28,264.70588,-74.65,0.1005159541964531
29,285.88235,-74.65,0.1575692743062973
30,307.05882,-74.65,0.07088800519704819
31,328.23529,-74.65,0.07286469638347626
32,349.41176,-74.65,0.036679334938526154
33,7.82609,-67.45,0.023354265838861465
34,23.47826,-67.45,0.025064785033464432
35,39.13043,-67.45,0.036662302911281586
36,54.78261,-67.45,0.058444179594516754
37,70.43478,-67.45,0.0632467120885849
39,101.73913,-67.45,0.0654962882399559
40,117.3913,-67.45,0.13292810320854187
41,133.04348,-67.45,0.11007612198591232
42,148.69565,-67.45,0.2329966127872467
48,242.6087,-67.45,0.16953721642494202
49,258.26087,-67.45,0.10728916525840759
50,273.91304,-67.45,0.1605178415775299
51,289.56522,-67.45,0.060584817081689835
52,305.21739,-67.45,0.04632231965661049
53,320.86957,-67.45,0.036257363855838776
54,336.52174,-67.45,0.033717185258865356
55,352.17391,-67.45,0.04237890988588333
56,6.2069,-60.25,0.019850289449095726
57,18.62069,-60.25,0.02672944962978363
58,31.03448,-60.25,0.032634422183036804
59,43.44828,-60.25,0.02718432992696762
60,55.86207,-60.25,0.07300271838903427
61,68.27586,-60.25,0.026711398735642433
62,80.68966,-60.25,0.033467113971710205
63,93.10345,-60.25,0.04469180479645729
64,105.51724,-60.25,0.13840550184249878
65,117.93103,-60.25,0.20695319771766663
66,130.34483,-60.25,0.24978119134902954
77,266.89655,-60.25,0.13910382986068726
78,279.31034,-60.25,0.08275671303272247
